parent_directory|object_type|name|size_in_bytes
H:\PythonNew\Seminars_Python_New\Seminar7|File|run.py|1102
H:\PythonNew\Seminars_Python_New\Seminar7|File|task_1.py|2289
H:\PythonNew\Seminars_Python_New\Seminar7|File|task_2.py|3003
H:\PythonNew\Seminars_Python_New\Seminar7|File|task_3.py|4549
H:\PythonNew\Seminars_Python_New\Seminar7|Directory|__pycache__|9935
H:\PythonNew\Seminars_Python_New\Seminar7\__pycache__|File|task_1.cpython-311.pyc|3061
H:\PythonNew\Seminars_Python_New\Seminar7\__pycache__|File|task_2.cpython-311.pyc|3849
H:\PythonNew\Seminars_Python_New\Seminar7\__pycache__|File|task_3.cpython-311.pyc|3025
